EVENT_NO_TRIP,EVENT_NO_STOP,OPD_DATE,VEHICLE_ID,METERS,ACT_TIME,GPS_LONGITUDE,GPS_LATITUDE,GPS_SATELLITES,GPS_HDOP
259172710,259172811,15FEB2023:00:00:00,4223,71468,36299,-122.558198,45.489782,12,0.7
259172710,259172811,15FEB2023:00:00:00,4223,71530,36304,-122.5574,45.489777,12,0.7
259172710,259172811,15FEB2023:00:00:00,4223,71584,36309,-122.556682,45.489775,12,0.7
259172710,259172811,15FEB2023:00:00:00,4223,71627,36314,-122.556135,45.489772,12,0.7
259172710,259172811,15FEB2023:00:00:00,4223,71675,36319,-122.555518,45.489768,12,0.7
259172710,259172812,15FEB2023:00:00:00,4223,71731,36324,-122.554793,45.489765,12,0.7
259172710,259172812,15FEB2023:00:00:00,4223,71801,36329,-122.55391,45.489762,12,0.7
259172710,259172812,15FEB2023:00:00:00,4223,71873,36334,-122.55298,45.48976,12,0.7
259172710,259172813,15FEB2023:00:00:00,4223,71946,36339,-122.552038,45.489757,12,0.8
259172710,259172813,15FEB2023:00:00:00,4223,72019,36344,-122.551092,45.489752,12,0.7
259172710,259172813,15FEB2023:00:00:00,4223,72092,36349,-122.550148,45.489748,12,0.7
259172710,259172813,15FEB2023:00:00:00,4223,72163,36354,-122.549225,45.489738,12,0.7
259172710,259172813,15FEB2023:00:00:00,4223,72221,36359,-122.548457,45.489712,12,0.7
259172710,259172813,15FEB2023:00:00:00,4223,72240,36364,-122.548167,45.489703,12,0.7
259172710,259172814,15FEB2023:00:00:00,4223,72288,36389,-122.547597,45.489722,12,0.7
259172710,259172814,15FEB2023:00:00:00,4223,72348,36394,-122.546833,45.489725,12,0.7
259172710,259172814,15FEB2023:00:00:00,4223,72421,36399,-122.545905,45.48971,12,0.7
259172710,259172814,15FEB2023:00:00:00,4223,72492,36404,-122.544978,45.489702,12,0.7
259172710,259172814,15FEB2023:00:00:00,4223,72567,36409,-122.544015,45.48969,12,0.7
259172710,259172815,15FEB2023:00:00:00,4223,72644,36414,-122.543023,45.489675,12,0.7
259172710,259172815,15FEB2023:00:00:00,4223,72721,36419,-122.54202,45.489662,12,0.7
259172710,259172816,15FEB2023:00:00:00,4223,72798,36424,-122.541028,45.48965,12,0.7
259172710,259172816,15FEB2023:00:00:00,4223,72874,36429,-122.540042,45.489637,12,0.7
259172710,259172816,15FEB2023:00:00:00,4223,72946,36434,-122.539108,45.489622,12,0.7
259172710,259172816,15FEB2023:00:00:00,4223,72997,36439,-122.538412,45.489615,12,0.7
259172710,259172816,15FEB2023:00:00:00,4223,73017,36444,-122.538118,45.489612,12,0.7
259172710,259172817,15FEB2023:00:00:00,4223,73019,36459,-122.538088,45.489612,12,0.7
259172710,259172817,15FEB2023:00:00:00,4223,73036,36464,-122.537912,45.489607,12,0.7
259172710,259172817,15FEB2023:00:00:00,4223,73070,36469,-122.537472,45.489575,12,0.7
259172710,259172817,15FEB2023:00:00:00,4223,73090,36474,-122.537187,45.489562,12,0.7
259172710,259172818,15FEB2023:00:00:00,4223,73176,36804,-122.536063,45.489628,12,0.7
259172710,259172818,15FEB2023:00:00:00,4223,73228,36809,-122.535385,45.48963,12,0.7
259172710,259172818,15FEB2023:00:00:00,4223,73279,36814,-122.534728,45.489635,12,0.7
259172710,259172818,15FEB2023:00:00:00,4223,73330,36819,-122.534075,45.489642,12,0.7
259172710,259172819,15FEB2023:00:00:00,4223,73382,36824,-122.533398,45.489642,12,0.7
